         50343999 function calls (50336476 primitive calls) in 552.551 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 1350/217    0.002    0.000    0.414    0.002 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      586    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      379    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      379    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:147(__enter__)
      379    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      586    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      376    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      207    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    507/7    0.000    0.000    0.519    0.074 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     3671    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      356    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      356    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      356    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:318(__exit__)
     1418    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      300    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      370    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      651    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:403(cached)
      650    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
      356    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
      356    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
  358/354    0.001    0.000    0.128    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      376    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:634(_load_backward_compatible)
    359/6    0.002    0.000    0.520    0.087 <frozen importlib._bootstrap>:663(_load_unlocked)
      369    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:740(create_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
      586    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      364    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
     1100    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
     1100    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(__exit__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
      369    0.003    0.000    0.046    0.000 <frozen importlib._bootstrap>:882(_find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:929(_sanity_check)
    377/6    0.002    0.000    0.522    0.087 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    379/6    0.002    0.000    0.523    0.087 <frozen importlib._bootstrap>:978(_find_and_load)
      5/3    0.000    0.000    0.088    0.029 <frozen importlib._bootstrap>:994(_gcd_import)
       53    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
    53/50    0.000    0.000    0.119    0.002 <frozen importlib._bootstrap_external>:1040(create_module)
       51    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
       41    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      760    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      364    0.002    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      364    0.000    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      328    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
      353    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      656    0.006    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
       41    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
       41    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
      600    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      656    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      351    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      300    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      300    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      300    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      900    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      300    0.001    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
     3416    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      353    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     3416    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      600    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      300    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
    300/6    0.001    0.000    0.520    0.087 <frozen importlib._bootstrap_external>:722(exec_module)
     1470    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      300    0.003    0.000    0.084    0.000 <frozen importlib._bootstrap_external>:793(get_code)
      514    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      300    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      300    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
      300    0.014    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      473    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      300    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
       58    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 ElementPath.py:255(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:105(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1139(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:124(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1249(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1361(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1437(XMLParser)
        1    0.000    0.000    0.003    0.003 ElementTree.py:34(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:495(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:543(ElementTree)
        1    0.000    0.000    0.000    0.000 Image.py:2282(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2287(ImageTransformHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2932(_apply_env_variables)
